LV,nominal,FV,note,test_statistic,p-value,CI-lower,CI-upper,relative_effect,FVC_n,LVC_n
give_VERB,warning_SUBST,warn_VERB,EXTREME OUTLIERS PRESENT,-2.553,0.99,0.188,0.472,0.329,83,12
give_VERB,information_SUBST,inform_VERB,EXTREME OUTLIERS PRESENT,0.257,0.404,0.432,0.592,0.511,125,73
have_VERB,smoke_SUBST,smoke_VERB,EXTREME OUTLIERS PRESENT,-0.901,0.794,0.029,0.762,0.392,424,5
take_VERB,action_SUBST,act_VERB,EXTREME OUTLIERS PRESENT,-5.441,1,0.281,0.397,0.34,289,74
make_VERB,submission_SUBST,submit_VERB,EXTREME OUTLIERS PRESENT,-3.157,0.996,0.163,0.432,0.301,122,13
give_VERB,hug_SUBST,hug_VERB,EXTREME OUTLIERS PRESENT,-3.498,0.999,0.103,0.394,0.248,35,18
give_VERB,encouragement_SUBST,encourage_VERB,EXTREME OUTLIERS PRESENT,-1.4,0.873,0.13,0.672,0.398,331,4
take_VERB,exercise_SUBST,exercise_VERB,insufficient observations,test_result$statistic,,,,,60,1
have_VERB,shave_SUBST,shave_VERB,EXTREME OUTLIERS PRESENT,0.677,0.249,0.315,0.836,0.576,104,9
have_VERB,run_SUBST,run_VERB,EXTREME OUTLIERS PRESENT,0.522,0.298,0.41,0.653,0.531,3077,24
take_VERB,kick_SUBST,kick_VERB,EXTREME OUTLIERS PRESENT,-3.1,0.963,-0.182,0.57,0.194,496,4
give_VERB,kick_SUBST,kick_VERB,EXTREME OUTLIERS PRESENT,-2.093,0.967,0.136,0.514,0.328,496,10
have_VERB,kick_SUBST,kick_VERB,EXTREME OUTLIERS PRESENT,1.179,0.155,0.249,1.026,0.649,496,5
give_VERB,summary_SUBST,summarise_VERB,,-4.417,0.951,-0.299,0.632,0.167,33,2
pay_VERB,contribution_SUBST,contribute_VERB,EXTREME OUTLIERS PRESENT,-0.795,0.788,0.289,0.597,0.444,144,12
make_VERB,contribution_SUBST,contribute_VERB,EXTREME OUTLIERS PRESENT,-2.593,0.994,0.287,0.472,0.379,144,46
do_VERB,work_SUBST,work_VERB,EXTREME OUTLIERS PRESENT,NaN,,,,,9282,466
make_VERB,assessment_SUBST,assess_VERB,EXTREME OUTLIERS PRESENT,-0.895,0.811,0.144,0.656,0.404,122,8
have_VERB,gossip_SUBST,gossip_VERB,,0.894,0.229,-0.881,2.281,0.7,5,2
have_VERB,wash_SUBST,wash_VERB,EXTREME OUTLIERS PRESENT,0.096,0.463,0.33,0.693,0.508,709,16
make_VERB,investment_SUBST,invest_VERB,EXTREME OUTLIERS PRESENT,2.185,0.094,0.25,1.143,0.694,204,3
have_VERB,throw_SUBST,throw_VERB,insufficient observations,test_result$statistic,,,,,1068,1
reach_VERB,agreement_SUBST,agree_VERB,EXTREME OUTLIERS PRESENT,-0.374,0.642,0.208,0.765,0.481,1637,3
