FVC_POS,LVC,LV_POS,nominal_POS,punctive/durative,count/mass syntax,source,identical nominal?,related nominal?,passive?,comments
invest_VERB,make an investment,make_VERB,investment_SUBST,durative,count,Bonial and Pollard (2020),FALSE,TRUE,FALSE,
mention_VERB,make mention,make_VERB,mention_SUBST,punctive,mass,Ronan & Schneider (2015),TRUE,TRUE,FALSE,
profit_VERB,make profit,make_VERB,profit_SUBST,durative,mass,Ronan & Schneider (2015),TRUE,TRUE,FALSE,
progress_VERB,make progress,make_VERB,progress_SUBST,durative,mass,Bonial and Pollard (2020),TRUE,TRUE,FALSE,
use_VERB,make use,make_VERB,use_SUBST,durative,mass,Bonial and Pollard (2020),TRUE,TRUE,FALSE,debatable whether LVC or not; make use of
answer_VERB,offer an answer,offer_VERB,answer_SUBST,durative,count,Ronan & Schneider (2015),TRUE,TRUE,FALSE,
arrange_VERB,make arrangements,make_VERB,arrangements_SUBST,durative,mass,Bonial (2014),FALSE,TRUE,FALSE,idiom or LVC; make arrangements for/with
battle_VERB,make battles,make_VERB,battles_SUBST,durative,mass,Mehl (2019),FALSE,TRUE,FALSE,
appologise_VERB,offer an apology,offer_VERB,apology_SUBST,durative,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
attend_VERB,pay attention,pay_VERB,attention_SUBST,durative,mass,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
contribute_VERB,pay contribution,pay_VERB,contribution_SUBST,durative,mass,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
compare_VERB,perform a comparison,perform_VERB,comparison_SUBST,punctive,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
abort_VERB,perform an abortion,perform_VERB,abortion_SUBST,punctive,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
analyse_VERB,perform an analysis,perform_VERB,analysis_SUBST,durative,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
advertise_VERB,place an advertisement,place_VERB,advertisement_SUBST,durative,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
finance_VERB,provide finance,provide_VERB,finance_SUBST,durative,mass,Ronan & Schneider (2015),TRUE,TRUE,FALSE,
participate_VERB,play part,play_VERB,part_SUBST,durative,mass,Ronan & Schneider (2015),FALSE,TRUE,FALSE,debatable whether LVC or not
threaten_VERB,pose a threat,pose_VERB,threat_SUBST,durative,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
decide_VERB,reach a decision,reach_VERB,decision_SUBST,durative,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
agree_VERB,reach an agreement,reach_VERB,agreement_SUBST,durative,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
bathe_VERB,take a bath,take_VERB,bath_SUBST,durative,count,Bonial (2014),FALSE,TRUE,FALSE,
breathe_VERB,take a breath,take_VERB,breath_SUBST,durative,count,Brugman (2001),FALSE,TRUE,FALSE,
dive_VERB,take a dive,take_VERB,dive_SUBST,durative,count,Brugman (2001),TRUE,TRUE,TRUE,passive meaning
drive_VERB,take a drive,take_VERB,drive_SUBST,durative,count,Butt (2010),TRUE,TRUE,FALSE,
fall_VERB,take a fall,take_VERB,fall_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,FALSE,
glance_VERB,take a glance,take_VERB,glance_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,FALSE,
glimpse_VERB,take a glimpse,take_VERB,glimpse_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,FALSE,
decide_VERB,take a decision,take_VERB,decision_SUBST,durative,count,Gilquin (2019),FALSE,TRUE,FALSE,
kick_VERB,take a kick,take_VERB,kick_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,FALSE,take a kick at
look_VERB,take a look,take_VERB,look_SUBST,durative,count,Brugman (2001),TRUE,TRUE,FALSE,take a look (at)
measure_VERB,take a measurement,take_VERB,measurement_SUBST,punctive,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
pitch_VERB,take a pitch,take_VERB,pitch_SUBST,durative,count,Brugman (2001),TRUE,TRUE,FALSE,not sure what the FV is here
plunge_VERB,take a plunge,take_VERB,plunge_SUBST,punctive,count,Butt (2010),TRUE,TRUE,FALSE,
punch_VERB,take a punch,take_VERB,punch_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,TRUE,passive meaning;take a punch at
read_VERB,take a reading,take_VERB,reading_SUBST,durative,count,Brugman (2001),FALSE,TRUE,FALSE,
